,DUNS,DCOMP,DTRADE,DSTREET,DCITY,DSTATEAB,DZIP5,DZIP4EXT,DMAILADD,DMAILCIT,DMAILSTA,DMAILZIP,DMAILZP4,DCARRRTC,FILLER1,DNATLCOD,DSTATECO,DCOUNTYC,DCITYCOD,DSMSACOD,DTELEPHO,DCEONAME,DCEOTITT,DSALESVO,DSLSVOLC,DEMPLTOT,DEMPTOTC,DEMPLHER,DEMPHRCD,DYRSTART,DSTATUSI,DSUBSIDI,DMANUFIN,DULTDUN,DHDQDUN,DPARDUN,DPRHQCT,DPRHQST,FILLER2,FILLER3,DHIER,DDIAS,DPOPLCD,DTRANCD,DRPTDAT,FILLER4,DRCRDCL,DLINEBU,DPRIMSI,DSICEXT1,DSICEXT2,DSICEXT3,DSICEXT4,DSIC2,DSIC3,DSIC4,DSIC5,DSIC6
0,001000145,PARADISE TAN,,811 PETERSON AVE N,DOUGLAS,GA,31533,4909,,,,,,C004,,000,19,224,2763,,9123848337.0,PAM BALTRUS,OWNER,000000000087104,2.0,000000001,0.0,000000001,0.0,2000.0,0.0,0.0,1.0,,,,,,079Y000,0.0,,,5.0,3.0,181104,,0.0,MISC PRSNL SVCS NE,7299,0105,,,,,,,,
1,001000152,CUDDLE TIME,,,HONOLULU,HI,96823,,P O BOX 235182,HONOLULU,HI,96823,3503,B016,,000,21,399,2477,244,8085336069.0,ATSUSHI TAKEBAYASHI,PRINCIPAL,000000000046282,2.0,000000002,2.0,000000002,2.0,2005.0,0.0,0.0,1.0,,,,,,074Y332,0.0,,,9.0,3.0,210704,,0.0,ANIMAL SPECLTY SVCS,0752,0000,,,,,,,,
2,001000236,QUALIFIED BUILDERS LLC,,2516 LINDSAY LN,GRAND BLANC,MI,48439,2518,,,,,,R072,,000,43,313,3525,193,8106918201.0,CARL DOUGLAS,MANAGING MEMBER,000000000285552,2.0,000000002,0.0,000000002,0.0,2015.0,0.0,0.0,1.0,,,,,,047Y264,0.0,,,8.0,3.0,211222,,0.0,SNGL-FAM HSNG CNSTR,1521,9901,,,,,,,,
3,001000306,SHRUT & ASCH LEATHER CO LLC,,5 CRANES CT,WOBURN,MA,01801,5603,,,,,,C054,,000,41,599,9474,082,6172472288.0,HOWARD SHRUT,PRESIDENT,000000000615799,2.0,000000004,0.0,000000004,0.0,1941.0,0.0,0.0,1.0,,,,,,022Y112,0.0,,,9.0,3.0,221120,,0.0,LEATHER TNNG FNSHN,3111,0311,,,,,,,,
4,001000330,DHM THREAD CORPORATION,CONSOLIDATED THREAD MILLS,192 ANAWAN ST STE 301,FALL RIVER,MA,02721,1557,P O BOX 1107,FALL RIVER,MA,02722,1107,B008,,000,41,203,2818,184,5086720032.0,DONALD ASHTON,PRESIDENT,000000002174721,2.0,000000017,0.0,000000017,0.0,1933.0,0.0,0.0,0.0,,,,,,022Y648,0.0,,,9.0,3.0,191115,,0.0,THREAD MILLS,2284,0100,,,,22980207,,,,
5,001000355,HARRISON SPECIALTY CO INC,,99 UNIVERSITY RD,CANTON,MA,02021,1431,,,,,,C011,,000,41,731,1232,082,7818288180.0,GEORGE P BATES,PRESIDENT,000000006526549,2.0,000000050,0.0,000000049,0.0,1961.0,1.0,0.0,0.0,001000355,001000355,,,,022Y112,0.0,,,9.0,3.0,200904,,0.0,TOILET PREPARATIONS,2844,0500,,,,,,,,
6,001000363,LOUIS M GERSON CO INC,,16 COMMERCE BLVD STE D,MIDDLEBORO,MA,02346,1085,,,,,,R003,,000,41,797,4664,,5089474000.0,RONALD L GERSON,CHAIRMAN OF THE BOARD,000000024356463,2.0,000000150,0.0,000000025,0.0,1947.0,1.0,0.0,1.0,001000363,001000363,,,,022Y120,0.0,01,001592799,8.0,3.0,200831,,0.0,SRGCL APPL SUPPLS,3842,0112,,,,,,,,
7,001000368,MATHEWS DWIGHT ARCHITECT,,1784 SAWGRASS POINTE DR,HAYES,VA,23072,3706,,,,,,R003,,000,91,333,3809,412,5406751555.0,DWIGHT MATTHEWS,OWNER,000000000135521,2.0,000000001,0.0,000000001,0.0,1991.0,0.0,0.0,1.0,,,,,,173Y572,0.0,,,5.0,3.0,221113,,0.0,ARCHITECTURAL SVCS,8712,0101,,,,,,,,
8,001000418,IVYS GIFTS FROM VINE,,540 ETOWAH DR,DAHLONEGA,GA,30533,5240,,,,,,R007,,000,19,578,2422,,7068677264.0,IVY SPRAKER,OWNER,000000000025000,0.0,000000001,0.0,000000001,0.0,1998.0,0.0,0.0,1.0,,,,,,011Y000,0.0,,,5.0,3.0,221120,,0.0,FLORISTS,5992,9901,,,,,,,,
9,001000467,SAVE SEA TURTLES INTERNATIONAL,ADOPT THE BEACH HI,61529 KAMEHAMEHA HWY,HALEIWA,HI,96712,1338,P O BOX 940,HALEIWA,HI,96712,0940,B008,,000,21,399,1073,244,,MARLU A WEST,DIRECTOR,000000000015719,2.0,000000003,0.0,000000003,0.0,2000.0,0.0,0.0,1.0,,,,,,074Y332,0.0,,,9.0,3.0,221120,,2.0,CIVIC SOCIAL ASSNS,8641,9903,,,,,,,,
