id	dest_lon	dest_lat	origin_lon	origin_lat	distance_m	duration_s
"896"	"-121.46963851"	"38.5708023"	"-121.51736942"	"38.671451137"	"16724.4"	"1105.7"
"897"	"-119.80032164"	"36.88437879999999"	"-119.70164151"	"36.74847443199999"	"26286"	"1374.1"
"898"	"-93.275322"	"37.17833747"	"-93.213984866"	"37.023868811"	"22440.4"	"1327.7"
"899"	"-80.01246964000001"	"35.96348177"	"-80.086026942"	"35.868589841"	"17189.2"	"1136.2"
"900"	"-89.69679902999998"	"41.80235031"	"-89.56083465899998"	"41.701565286"	"22798.4"	"1511.7"
"901"	"-115.16796604"	"36.15897751"	"-115.33028196"	"36.126144167"	"18413.7"	"1232.7"
"902"	"-92.29278994000001"	"34.74274676"	"-92.213673895"	"34.848389"	"20029.5"	"1239.3"
"903"	"-89.11525965"	"30.36676583"	"-89.09973475299999"	"30.464717495"	"13294.2"	"895.1"
"904"	"-90.70171722000001"	"35.83597061"	"-90.861954"	"35.97779"	"24910"	"1335.3"
"905"	"-87.65019811000001"	"34.80364259"	"-87.705870707"	"34.693949782"	"18733.4"	"1388.8"
"906"	"-122.31101018"	"47.60620387"	"-122.254399"	"47.457744"	"20015.7"	"1154.8"
"907"	"-88.31120556"	"36.29702750000001"	"-88.142980872"	"36.441480927"	"25326.3"	"1363.9"
"908"	"-90.49839303"	"36.05187242"	"-90.41544002200001"	"36.185556775"	"22522.7"	"1325"
"909"	"-77.01375384000001"	"38.92768706"	"-76.937808567"	"38.953925566"	"9435.9"	"747.4"
"910"	"-88.14104102"	"42.05300501"	"-88.19504355299999"	"41.980793926"	"13586.4"	"1066.4"
"911"	"-97.12362365"	"39.39172338"	"-97.03421991299999"	"39.203626961"	"28990.6"	"1989.1"
"912"	"-80.43044154"	"25.47944929"	"-80.348344716"	"25.560755628"	"18737.8"	"1105.3"
"913"	"-123.02821392"	"44.08229779999999"	"-123.10316547"	"44.01704669"	"14052"	"1138.3"
"914"	"-97.57639922"	"35.53043649"	"-97.49655099299999"	"35.665098409"	"21549.4"	"1278.3"
"915"	"-84.32098261"	"33.79417227"	"-84.338972708"	"33.72754011"	"9859.1"	"913.9"
"916"	"-97.23869754"	"37.47672501"	"-97.004678019"	"37.52087396"	"25869.2"	"2033.3"
"917"	"-75.66890999"	"39.68776701"	"-75.494485032"	"39.770979782"	"20676.8"	"1195.7"
"918"	"-90.49839303"	"36.05187242"	"-90.233851352"	"36.047426212"	"24531.7"	"1174.9"
"919"	"-71.79225103"	"42.27295025"	"-71.92056217300001"	"42.304737606"	"12346.7"	"841.8"
"1984"	"-87.62153401"	"41.89495249"	"-87.71714135399999"	"42.048763068"	"22208.3"	"1382.2"
"1985"	"-73.89360446000001"	"41.29154863"	"-73.662142559"	"41.348117134"	"28555.4"	"1610.6"
"1986"	"-88.21444285"	"40.11741465"	"-88.527831171"	"40.337784728"	"48273.3"	"2638.7"
"1987"	"-73.8037829"	"42.65652123"	"-73.90061993800001"	"42.855940793"	"33222.4"	"2166.6"
"8096"	"-73.94030800999998"	"40.81435405"	"-73.31127069999998"	"44.63934737"	"504625.1"	"23578.5"
"1988"	"-117.43196703"	"34.07224702"	"-117.539038"	"33.85305200000001"	"36618.7"	"1782.1"
"8097"	"-71.1048835"	"42.33748316"	"-75.75109999999998"	"44.0167"	"540171.8"	"24641.1"
"1989"	"-83.13495253000001"	"41.33881787"	"-83.36378702899998"	"41.565232324"	"36260.3"	"2205.2"
"8098"	"-122.04203138"	"37.91428978"	"-118.368869"	"34.217406"	"564401"	"23212.4"
"1990"	"-114.63515703"	"32.68247999"	"-114.77025842"	"32.494506807"	"35104.4"	"2094"
"8099"	"-88.42905066999998"	"33.52560779"	"-93.018947579"	"34.501548295"	"565874.8"	"24334.4"
"1991"	"-73.70703358"	"40.75318311"	"-73.984145"	"40.739236"	"27536.1"	"1818"
"8100"	"-80.87682925999998"	"35.79981611"	"-79.460893271"	"38.991549122"	"497979.9"	"24447.5"
"1992"	"-80.20180233000001"	"26.26299346"	"-80.268815199"	"26.067101321"	"32271.7"	"1887.9"
"8101"	"-97.06724747"	"36.72471398"	"-92.05900291399999"	"37.373515232"	"531389.9"	"24205.8"
"1993"	"-85.05733682999998"	"33.0308018"	"-85.25009398899999"	"32.73405273"	"47422.6"	"2644.6"
"8102"	"-83.49165406"	"31.47047921"	"-87.73397688999998"	"30.271256893"	"517417.5"	"24185.2"
"1994"	"-77.07530633999998"	"38.91202153"	"-76.92141940099998"	"38.942329727"	"16142.4"	"1189.5"
"8103"	"-108.80659066"	"40.08025942"	"-113.97585281"	"40.718672181"	"552088.8"	"23283"
"1995"	"-83.49984494"	"42.59243898"	"-83.36737399499998"	"42.36199242"	"36461.3"	"2150"
"8104"	"-89.74370818"	"30.28701341"	"-84.19735759799998"	"30.942252381"	"592850.6"	"25640.8"
"1996"	"-80.14227144999998"	"26.10181755"	"-80.23229621199999"	"25.78334153"	"44165"	"2308.4"
"8105"	"-78.85564999"	"38.405007"	"-84.00775823099998"	"35.923042879"	"585297.7"	"24330.7"
"8106"	"-119.80032164"	"36.88437879999999"	"-117.17123025"	"32.797432636"	"555461.6"	"23790.9"
"8107"	"-112.17955352"	"33.61072229"	"-117.29780872"	"34.498596111"	"579894.9"	"23321.3"
"8108"	"-89.00746963"	"42.26569723"	"-83.204370872"	"42.173528062"	"571307.9"	"24394"
"8109"	"-85.17941397"	"34.26043248"	"-83.049336192"	"37.324656977"	"524729.5"	"23761.4"
"8110"	"-118.48602639"	"34.02745589"	"-112.86549256"	"34.14863696"	"563419.9"	"23789.3"
"8111"	"-90.26031103"	"39.74531745"	"-91.375408355"	"36.287948763"	"523457.1"	"23390.7"
"1997"	"-75.15557425"	"39.94581928"	"-75.29926946499998"	"39.923778257"	"15270.4"	"1536.4"
"8112"	"-86.80491569999998"	"33.50347521"	"-82.252107322"	"36.334424264"	"593310.4"	"24902.8"
"1998"	"-77.07530633999998"	"38.91202153"	"-76.94921999999998"	"38.823558"	"20934.6"	"1529.5"
"8113"	"-108.51996833"	"45.79286687"	"-111.99703585"	"43.734360673"	"527724.7"	"22883.2"
"1999"	"-83.86819203999998"	"43.58937249"	"-84.016640353"	"43.419018461"	"31039"	"1751.2"
"8114"	"-111.83920987"	"40.77022874"	"-112.40417836"	"36.787581368"	"541350.8"	"24621.8"
"2000"	"-77.58201769999998"	"35.29153297"	"-77.944638"	"35.372751"	"41648.7"	"2100.9"
"8115"	"-87.21088437999998"	"30.47578275"	"-86.39680542099998"	"34.544735615"	"567560.3"	"25160.7"
"2001"	"-90.23849151"	"38.62139656"	"-90.083453764"	"38.863834925"	"35981.9"	"1973.7"
"8116"	"-83.49984494"	"42.59243898"	"-87.61344191499998"	"40.293380649"	"568641"	"25117.9"
"2002"	"-87.69810354000001"	"41.85548378"	"-87.87199346200001"	"41.93439086"	"24012.6"	"1497.6"
